"";"Number";"ISOWeek";"Sales";"Price";"MovingAverage";"Seasonality";"CleanSales";"LinearSales";"ExpSales";"LogSales";"TrendEffect";"PriceEffect";"TrendForecast";"PriceForecast";"TPForecast"
"72";72;201320;5026;29,88;5235;-556,663461538461;5582,66346153846;5130,25320018533;4525,73789349361;5111,1099805547;-40,2052019954326;100,118200185329;4445,83523346524;4537,96791916418;4613,82445890181
"73";73;201321;5581;30,19;5248,98076923077;226,264423076923;5354,73557692308;5126,48194911514;4525,63935209531;5107,03438239316;-34,4592311201986;96,3469491151382;5212,41310833275;5302,61418448288;5365,1936349885
"74";74;201322;5270;30,81;5263,10576923077;330,39423076923;4939,60576923077;5118,93944697476;4525,44227573545;5099,00725324307;-28,7132602449656;88,8044469747574;5319,33938847123;5409,2806354021;5450,03858734382
"75";75;201323;5273;30,64;5277,63461538462;200,163461538461;5072,83653846154;5121,00755240035;4525,49631194789;5101,19205271628;-22,9672893697316;90,8725524003457;5198,51557095226;5281,0741599215;5345,9812826099
"76";76;201324;5778;30,77;5266,81730769231;371,759615384615;5406,24038461538;5119,42606001607;4525,45499008033;5099,52023722949;-17,2213184944985;89,2910600160722;5371,00521130628;5449,19617604061;5518,17349480145
"77";77;201325;5892;30,19;5270,99038461538;399,639423076923;5492,36057692308;5126,48194911514;4525,63935209531;5107,03438239316;-11,4753476192654;96,3469491151382;5403,83223305251;5471,35155596087;5584,89022619402
"78";78;201326;5453;29,93;5304,41346153846;45,7403846153843;5407,25961538462;5129,64493388369;4525,72199957456;5110,44977413437;-5,72937674403147;99,5099338836853;5065,6490335548;5124,68718856981;5270,0385765144
"79";79;201327;5418;30,05;5386,45192307692;-15,3397435897435;5433,33974358974;5128,18509475974;4525,68385439659;5108,8697678862;0,0165941312016002;98,0500947597402;5012,0253631486;5066,27096912094;5219,1041624408
"80";80;201328;4936;28,58;5458,42307692308;-340,480769230769;5276,48076923077;5146,06812402806;4526,15115498145;5128,67463392438;5,76256500643467;115,933124028063;4701,7890150979;4737,20883261681;4987,48940482263
"81";81;201329;6457;27,72;5475,57692307692;390,423076923077;6066,57692307692;5156,53030441633;4526,4245640895;5140,73907700656;11,5085358816686;126,395304416333;5417,81026480384;5441,17948262802;5742,63129676149
"82";82;201330;4494;29,64;5487,31730769231;-375,634615384615;4869,63461538462;5133,17287843322;4525,81418508201;5114,29442820071;17,2545067569017;103,037878433218;4679,09394281498;4712,09426488786;4931,54688683258
"83";83;201331;5196;29,65;5487,19230769231;177,88141025641;5018,11858974359;5133,05122517289;4525,81100624015;5114,16122888489;23,0004776321357;102,916225172889;5222,73085222165;5250,89006353591;5476,25251862635
"84";84;201332;5641;31,11;5485,74038461538;-28,150641025641;5669,15064102564;5115,2898491649;4525,34691928747;5095,18096973794;28,7464485073688;85,1548491648964;5028,24383751997;5062,90169591389;5224,45292300713
"85";85;201333;4592;29,51;5484,27884615385;-622,782051282051;5214,78205128205;5134,75437081749;4525,85551022937;5116,03012052509;34,4924193826018;104,619370817491;4456,11847118936;4470,44189695836;4739,84996615828
